,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5,2.25,0.01,0.01,2.5134956442543,2.2531755295263385,0.01,0.01,False,0,0,0,0,0,0,True,0.013495644254299794,0.0031755295263382697,0.013495644254299794,0.0031755295263382697,0.013495644254299794,0.0031755295263382697,True,0.0031755295263382697,0.0031755295263382697,0.0031755295263382697,0.0031755295263382697,0.013495644254299794,0.0031755295263382697
2,3.5,2.25,0.01,0.01,3.509188166975631,2.2506026277287465,0.01,0.01,False,0,0,0,0,0,0,True,-0.00430747727866883,-0.002572901797591764,0.009188166975630964,0.0006026277287465055,0.017803121532968626,0.005748431323930034,True,-0.002572901797591764,-0.002572901797591764,0.0006026277287465055,0.0006026277287465055,0.017803121532968626,0.005748431323930034
3,4.5,2.25,0.01,0.01,4.5172438772705545,2.251621919759572,0.01,0.01,False,0,0,0,0,0,0,True,0.008055710294922958,0.0010192920308257723,0.017243877270553924,0.0016219197595722778,0.025858831827891584,0.006767723354755806,True,0.0010192920308257723,0.0010192920308257723,0.0016219197595722778,0.0016219197595722778,0.025858831827891584,0.006767723354755806
4,5.5,2.25,0.01,0.01,5.529836393969192,2.258082223633523,0.01,0.01,False,0,0,0,0,0,0,True,0.012592516698637259,0.006460303873950966,0.02983639396919118,0.008082223633523244,0.038451348526528845,0.013228027228706772,True,0.006460303873950966,0.006460303873950966,0.008082223633523244,0.008082223633523244,0.038451348526528845,0.013228027228706772
5,6.5,2.25,0.01,0.01,6.509255173149617,2.2842846108486135,0.01,0.01,False,0,0,0,0,0,0,True,-0.02058122081957499,0.026202387215090064,0.009255173149616193,0.03428461084861331,0.05903256934610383,0.039430414443796837,True,0.026202387215090064,0.026202387215090064,0.03428461084861331,0.03428461084861331,0.05903256934610383,0.039430414443796837
6,7.5,2.25,0.01,0.01,7.520511662593085,2.2892530459929232,0.01,0.01,False,0,0,0,0,0,0,True,0.011256489443467943,0.004968435144309995,0.020511662593084137,0.039253045992923306,0.07028905878957177,0.04439884958810683,True,0.004968435144309995,0.004968435144309995,0.039253045992923306,0.039253045992923306,0.07028905878957177,0.04439884958810683
7,8.5,2.25,0.01,0.01,8.536794793364695,2.3089992496167127,0.01,0.01,False,0,0,0,0,0,0,True,0.016283130771609478,0.019746203623789267,0.036794793364693615,0.058999249616712574,0.08657218956118125,0.06414505321189609,True,0.019746203623789267,0.019746203623789267,0.058999249616712574,0.058999249616712574,0.08657218956118125,0.06414505321189609
8,8.5,3.75,0.01,0.01,8.536794793364693,3.8089992496167127,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.036794793364693615,0.058999249616712574,0.08657218956118125,0.06414505321189609,True,0.0,0.0,0.058999249616712574,0.058999249616712574,0.08657218956118125,0.06414505321189609
9,7.5,3.75,0.01,0.01,7.5605594255804345,3.8116549386766243,0.01,0.01,False,0,0,0,0,0,0,True,0.023764632215741238,0.0026556890599117155,0.06055942558043485,0.06165493867662429,0.11033682177692249,0.06680074227180781,True,0.0026556890599117155,0.0026556890599117155,0.06165493867662429,0.06165493867662429,0.11033682177692249,0.06680074227180781
