,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.5010977090744415,2.2508802140633355,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010977090744415533,0.0008802140633356775,0.0010977090744415533,0.0008802140633356775,0.0010977090744415533,0.0008802140633356775,True,0.0010977090744415533,0.0008802140633356775,0.0010977090744415533,0.0008802140633356775,0.0010977090744415533,0.0008802140633356775,1
2,3.5,2.25,0.01,0.01,3.502090250523883,2.2519070502975027,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.000992541449441244,0.0010268362341672175,0.0020902505238827975,0.001907050297502895,0.0020902505238827975,0.001907050297502895,True,0.000992541449441244,0.0010268362341672175,0.0020902505238827975,0.001907050297502895,0.0020902505238827975,0.001907050297502895,2
3,4.5,2.25,0.01,0.01,4.503107560782763,2.252717965242032,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010173102588798791,0.0008109149445296649,0.0031075607827626764,0.00271796524203256,0.0031075607827626764,0.00271796524203256,True,0.0010173102588798791,0.0008109149445296649,0.0031075607827626764,0.00271796524203256,0.0031075607827626764,0.00271796524203256,3
4,5.5,2.25,0.01,0.01,5.504108754697231,2.253632548147881,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010011939144677188,0.0009145829058488501,0.004108754697230395,0.00363254814788141,0.004108754697230395,0.00363254814788141,True,0.0010011939144677188,0.0009145829058488501,0.004108754697230395,0.00363254814788141,0.004108754697230395,0.00363254814788141,4
5,6.5,2.25,0.01,0.01,6.505161287604703,2.2547339146135985,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0010525329074711168,0.0011013664657175096,0.005161287604701512,0.00473391461359892,0.005161287604701512,0.00473391461359892,True,0.0010525329074711168,0.0011013664657175096,0.005161287604701512,0.00473391461359892,0.005161287604701512,0.00473391461359892,5
6,7.5,2.25,0.01,0.01,7.506136372939833,2.2557090574411647,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0009750853351302717,0.0009751428275660555,0.006136372939831783,0.005709057441164975,0.006136372939831783,0.005709057441164975,True,0.0009750853351302717,0.0009751428275660555,0.006136372939831783,0.005709057441164975,0.006136372939831783,0.005709057441164975,6
7,8.5,2.25,0.01,0.01,8.507120929915152,2.2567268013338837,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0009845569753179349,0.0010177438927192316,0.007120929915149718,0.006726801333884207,0.007120929915149718,0.006726801333884207,True,0.0009845569753179349,0.0010177438927192316,0.007120929915149718,0.006726801333884207,0.007120929915149718,0.006726801333884207,7
8,8.5,3.75,0.01,0.01,8.50712092991515,3.756726801333884,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.007120929915149718,0.006726801333884207,0.007120929915149718,0.006726801333884207,True,0.0,0.0,0.007120929915149718,0.006726801333884207,0.007120929915149718,0.006726801333884207,8
9,7.5,3.75,0.01,0.01,7.508095302765254,3.757756922288568,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0009743728501042765,0.0010301209546836954,0.008095302765253994,0.0077569222885679025,0.008095302765253994,0.0077569222885679025,True,0.0009743728501042765,0.0010301209546836954,0.008095302765253994,0.0077569222885679025,0.008095302765253994,0.0077569222885679025,9
