Job:500_group7,Version:3.10,Units:Metres
base,5662809.002,700730.754,1100.000,419739
1000,5662724.141,700698.790,1103.735,ground shot
1001,5662714.233,700699.057,1103.568,ground shot
1002,5662706.475,700699.273,1103.384,ground shot
1003,5662702.259,700699.438,1103.329,ground shot
1004,5662692.712,700699.787,1103.126,ground shot
1005,5662680.777,700700.283,1102.872,ground shot
1006,5662671.079,700700.776,1102.645,ground shot
1007,5662659.006,700701.068,1102.377,ground shot
1008,5662649.618,700701.392,1102.171,ground shot
1009,5662637.712,700701.830,1101.977,ground shot
1010,5662627.975,700702.176,1101.906,ground shot
1011,5662627.907,700699.601,1101.881,ground shot
1012,5662637.599,700699.293,1101.927,ground shot
1013,5662649.506,700698.837,1102.093,ground shot
1014,5662659.074,700698.506,1102.321,ground shot
1015,5662671.032,700698.193,1102.585,ground shot
1016,5662680.721,700697.701,1102.796,ground shot
1017,5662692.669,700697.235,1103.049,ground shot
1018,5662702.236,700696.892,1103.248,ground shot
1019,5662714.226,700696.450,1103.500,ground shot
1020,5662724.030,700696.182,1103.669,ground shot
1021,5662723.851,700693.670,1103.617,ground shot
1022,5662714.114,700693.922,1103.437,ground shot
1023,5662702.113,700694.320,1103.178,ground shot
1024,5662692.565,700694.618,1102.993,ground shot
1025,5662680.668,700695.080,1102.735,ground shot
1026,5662670.910,700695.531,1102.522,ground shot
1027,5662658.929,700695.903,1102.280,ground shot
1028,5662649.431,700696.240,1102.026,ground shot
1029,5662637.525,700696.667,1101.875,ground shot
1030,5662627.837,700697.003,1101.838,ground shot
1031,5662627.720,700694.398,1101.788,ground shot
1032,5662637.397,700694.093,1101.813,ground shot
1033,5662649.378,700693.659,1101.964,ground shot
1034,5662658.875,700693.415,1102.201,ground shot
1035,5662670.768,700693.030,1102.418,ground shot
1036,5662680.564,700692.494,1102.648,ground shot
1037,5662692.493,700692.033,1102.896,ground shot
1038,5662702.031,700691.708,1103.089,ground shot
1039,5662713.990,700691.318,1103.377,ground shot
1040,5662723.802,700691.004,1103.549,ground shot
1041,5662723.746,700688.447,1103.473,ground shot
1042,5662713.863,700688.732,1103.266,ground shot
1043,5662702.014,700689.149,1102.999,ground shot
