,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.5098826374835714,2.2599603559848043,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009882637483571223,0.009960355984804135,0.009882637483571223,0.009960355984804135,0.009882637483571223,0.009960355984804135,True,0.009882637483571223,0.009960355984804135,0.009882637483571223,0.009960355984804135,0.009882637483571223,0.009960355984804135,1
2,3.5,2.25,0.01,0.01,3.519888938795437,2.2700776165759655,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0100063013118655,0.010117260591161194,0.019888938795436722,0.02007761657596533,0.019888938795436722,0.02007761657596533,True,0.0100063013118655,0.010117260591161194,0.019888938795436722,0.02007761657596533,0.019888938795436722,0.02007761657596533,2
3,4.5,2.25,0.01,0.01,4.5297496999715126,2.2800283308771445,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00986076117607549,0.009950714301179097,0.029749699971512212,0.030028330877144425,0.029749699971512212,0.030028330877144425,True,0.00986076117607549,0.009950714301179097,0.029749699971512212,0.030028330877144425,0.029749699971512212,0.030028330877144425,3
4,5.5,2.25,0.01,0.01,5.539632735141965,2.29021452753052,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00988303517045245,0.010186196653375591,0.039632735141964665,0.04021452753052002,0.039632735141964665,0.04021452753052002,True,0.00988303517045245,0.010186196653375591,0.039632735141964665,0.04021452753052002,0.039632735141964665,0.04021452753052002,4
5,6.5,2.25,0.01,0.01,6.54974169928704,2.3002915750511046,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01010896414507483,0.01007704752058467,0.0497416992870395,0.05029157505110469,0.0497416992870395,0.05029157505110469,True,0.01010896414507483,0.01007704752058467,0.0497416992870395,0.05029157505110469,0.0497416992870395,0.05029157505110469,5
6,7.5,2.25,0.01,0.01,7.642104748288714,2.407795460442195,0.01,0.01,True,0.0824091428634608,0.09759072506707002,0.0824091428634608,0.09759072506707002,0.0824091428634608,0.09759072506707002,True,0.00995390613821403,0.009913160324020464,0.059695605425253526,0.06020473537512515,0.059695605425253526,0.06020473537512515,True,0.09236304900167483,0.10750388539109049,0.14210474828871433,0.15779546044219517,0.14210474828871433,0.15779546044219517,6
7,8.5,2.25,0.01,0.01,8.652260493920993,2.417796104123811,0.01,0.01,False,0.0,0.0,0.0824091428634608,0.09759072506707002,0.0824091428634608,0.09759072506707002,True,0.010155745632278782,0.010000643681615606,0.0698513510575323,0.07020537905674075,0.0698513510575323,0.07020537905674075,True,0.010155745632278782,0.010000643681615606,0.1522604939209931,0.16779610412381077,0.1522604939209931,0.16779610412381077,7
8,9.5,2.25,0.01,0.01,9.662318456286338,2.4278587463084853,0.01,0.01,False,0.0,0.0,0.0824091428634608,0.09759072506707002,0.0824091428634608,0.09759072506707002,True,0.010057962365344873,0.010062642184674238,0.07990931342287717,0.080268021241415,0.07990931342287717,0.080268021241415,True,0.010057962365344873,0.010062642184674238,0.16231845628633795,0.17785874630848503,0.16231845628633795,0.17785874630848503,8
9,10.5,2.25,0.01,0.01,10.672295484088389,2.437898578020232,0.01,0.01,False,0.0,0.0,0.0824091428634608,0.09759072506707002,0.0824091428634608,0.09759072506707002,True,0.009977027802051598,0.010039831711746572,0.08988634122492878,0.09030785295316157,0.08988634122492878,0.09030785295316157,True,0.009977027802051598,0.010039831711746572,0.17229548408838957,0.18789857802023158,0.17229548408838957,0.18789857802023158,9
