,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.509869343081538,2.2600784474020195,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009869343081537887,0.010078447402019417,0.009869343081537887,0.010078447402019417,0.009869343081537887,0.010078447402019417,True,0.009869343081537887,0.010078447402019417,0.009869343081537887,0.010078447402019417,0.009869343081537887,0.010078447402019417,1
2,3.5,2.25,0.01,0.01,3.519814260441975,2.2701744288766683,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009944917360437011,0.010095981474648786,0.019814260441974898,0.020174428876668205,0.019814260441974898,0.020174428876668205,True,0.009944917360437011,0.010095981474648786,0.019814260441974898,0.020174428876668205,0.019814260441974898,0.020174428876668205,2
3,4.5,2.25,0.01,0.01,4.529765634259777,2.280201552634612,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00995137381780226,0.010027123757943925,0.029765634259777157,0.03020155263461213,0.029765634259777157,0.03020155263461213,True,0.00995137381780226,0.010027123757943925,0.029765634259777157,0.03020155263461213,0.029765634259777157,0.03020155263461213,3
4,5.5,2.25,0.01,0.01,5.539622348510191,2.290059432321639,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00985671425041329,0.009857879687027017,0.03962234851019045,0.040059432321639145,0.03962234851019045,0.040059432321639145,True,0.00985671425041329,0.009857879687027017,0.03962234851019045,0.040059432321639145,0.03962234851019045,0.040059432321639145,4
5,6.5,2.25,0.01,0.01,6.549712647997483,2.2999893982528437,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01009029948729195,0.009929965931204602,0.0497126479974824,0.04998939825284375,0.0497126479974824,0.04998939825284375,True,0.01009029948729195,0.009929965931204602,0.0497126479974824,0.04998939825284375,0.0497126479974824,0.04998939825284375,5
6,7.5,2.25,0.01,0.01,7.559637808334914,2.310134169886101,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009925160337431368,0.010144771633257338,0.05963780833491377,0.06013416988610109,0.05963780833491377,0.06013416988610109,True,0.009925160337431368,0.010144771633257338,0.05963780833491377,0.06013416988610109,0.05963780833491377,0.06013416988610109,6
7,8.5,2.25,0.01,0.01,8.569673984030523,2.320025881632168,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010036175695608085,0.009891711746067271,0.06967398403052186,0.07002588163216836,0.06967398403052186,0.07002588163216836,True,0.010036175695608085,0.009891711746067271,0.06967398403052186,0.07002588163216836,0.06967398403052186,0.07002588163216836,7
8,9.5,2.25,0.01,0.01,9.579648382395039,2.3300430129411596,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.009974398364515635,0.01001713130899169,0.07964838239503749,0.08004301294116005,0.07964838239503749,0.08004301294116005,True,0.009974398364515635,0.01001713130899169,0.07964838239503749,0.08004301294116005,0.07964838239503749,0.08004301294116005,8
9,10.5,2.25,0.01,0.01,10.589803003616712,2.340043492894838,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01015462122167378,0.010000479953678365,0.08980300361671127,0.09004349289483841,0.08980300361671127,0.09004349289483841,True,0.01015462122167378,0.010000479953678365,0.08980300361671127,0.09004349289483841,0.08980300361671127,0.09004349289483841,9
