,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.4983436221208253,2.2535874416900805,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.0016563778791746989,0.0035874416900804704,-0.0016563778791746989,0.0035874416900804704,0.0016563778791746989,0.0035874416900804704,True,0.0035874416900804704,0.0035874416900804704,0.0035874416900804704,0.0035874416900804704,0.0016563778791746989,0.0035874416900804704,1
2,3.5,2.25,0.01,0.01,3.4982043153450406,2.2665859705624003,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.00013930677578481362,0.012998528872319804,-0.0017956846549595125,0.016585970562400274,0.0017956846549595125,0.016585970562400274,True,0.012998528872319804,0.012998528872319804,0.016585970562400274,0.016585970562400274,0.0017956846549595125,0.016585970562400274,2
3,4.5,2.25,0.01,0.01,4.504643723438762,2.2676860974352313,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.006439408093721544,0.001100126872831196,0.004643723438762032,0.01768609743523147,0.008235092748681058,0.01768609743523147,True,0.001100126872831196,0.001100126872831196,0.01768609743523147,0.01768609743523147,0.008235092748681058,0.01768609743523147,3
4,5.5,2.25,0.01,0.01,5.515539028540162,2.267802688693911,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010895305101399643,0.00011659125867965851,0.015539028540161676,0.017802688693911127,0.0191303978500807,0.017802688693911127,True,0.00011659125867965851,0.00011659125867965851,0.017802688693911127,0.017802688693911127,0.0191303978500807,0.017802688693911127,4
5,6.5,2.25,0.01,0.01,6.541642591563475,2.286279496249013,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.02610356302331314,0.01847680755510203,0.041642591563474815,0.03627949624901316,0.04523396087339384,0.03627949624901316,True,0.01847680755510203,0.01847680755510203,0.03627949624901316,0.03627949624901316,0.04523396087339384,0.03627949624901316,5
6,7.5,2.25,0.01,0.01,7.534882292064388,2.2972386804372915,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.006760299499086313,0.010959184188278641,0.034882292064388504,0.0472386804372918,0.05199426037248015,0.0472386804372918,True,0.010959184188278641,0.010959184188278641,0.0472386804372918,0.0472386804372918,0.05199426037248015,0.0472386804372918,6
7,8.5,2.25,0.01,0.01,8.529932797974404,2.3067103953598567,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.004949494089985287,0.009471714922565102,0.029932797974403215,0.0567103953598569,0.05694375446246544,0.0567103953598569,True,0.009471714922565102,0.009471714922565102,0.0567103953598569,0.0567103953598569,0.05694375446246544,0.0567103953598569,7
8,9.5,2.25,0.01,0.01,9.561119680423129,2.3270190365566887,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.031186882448726132,0.020308641196832254,0.06111968042312935,0.07701903655668915,0.08813063691119158,0.07701903655668915,True,0.020308641196832254,0.020308641196832254,0.07701903655668915,0.07701903655668915,0.08813063691119158,0.07701903655668915,8
9,10.5,2.25,0.01,0.01,10.580769215998826,2.3447404759837136,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.019649535575697742,0.01772143942702499,0.08076921599882708,0.09474047598371414,0.10778017248688931,0.09474047598371414,True,0.01772143942702499,0.01772143942702499,0.09474047598371414,0.09474047598371414,0.10778017248688931,0.09474047598371414,9
