,true_e,true_n,true_e_std,true_n_std,real_e,real_n,real_e_std,real_n_std,jump_status,jump_individual_e,jump_individual_n,jump_cumulative_e,jump_cumulative_n,jump_absolute_cumulative_e,jump_absolute_cumulative_n,drift_status,drift_individual_e,drift_individual_n,drift_cumulative_e,drift_cumulative_n,drift_absolute_cumulative_e,drift_absolute_cumulative_n,error_status,error_individual_e,error_individual_n,error_cumulative_e,error_cumulative_n,error_absolute_cumulative_e,error_absolute_cumulative_n,epoch
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2.5,2.25,0.01,0.01,2.4946607175175157,2.2853645047000035,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.005339282482484277,0.0353645047000034,-0.005339282482484277,0.0353645047000034,0.005339282482484277,0.0353645047000034,True,0.0353645047000034,0.0353645047000034,0.0353645047000034,0.0353645047000034,0.005339282482484277,0.0353645047000034,1
2,3.5,2.25,0.01,0.01,3.5057244770493625,2.2929256823131348,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.011063759531846655,0.007561177613131132,0.005724477049362377,0.04292568231313453,0.016403042014330932,0.04292568231313453,True,0.007561177613131132,0.007561177613131132,0.04292568231313453,0.04292568231313453,0.016403042014330932,0.04292568231313453,2
3,4.5,2.25,0.01,0.01,4.517700154334058,2.3209326457526123,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.011975677284695549,0.028006963439477388,0.017700154334057926,0.07093264575261192,0.02837871929902648,0.07093264575261192,True,0.028006963439477388,0.028006963439477388,0.07093264575261192,0.07093264575261192,0.02837871929902648,0.07093264575261192,3
4,5.5,2.25,0.01,0.01,5.529905960856177,2.3222284355760077,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.012205806522118692,0.0012957898233954754,0.029905960856176618,0.07222843557600739,0.040584525821145176,0.07222843557600739,True,0.0012957898233954754,0.0012957898233954754,0.07222843557600739,0.07222843557600739,0.040584525821145176,0.07222843557600739,4
5,6.5,2.25,0.01,0.01,6.552174372554429,2.3341060588691187,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.022268411698251802,0.0118776232931109,0.052174372554428416,0.08410605886911829,0.06285293751939698,0.08410605886911829,True,0.0118776232931109,0.0118776232931109,0.08410605886911829,0.08410605886911829,0.06285293751939698,0.08410605886911829,5
6,7.5,2.25,0.01,0.01,7.572341119514573,2.3242961853983686,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.020166746960144283,-0.009809873470750125,0.0723411195145727,0.07429618539836816,0.08301968447954126,0.09391593233986842,True,-0.009809873470750125,-0.009809873470750125,0.07429618539836816,0.07429618539836816,0.08301968447954126,0.09391593233986842,6
7,8.5,2.25,0.01,0.01,8.578175712379048,2.326436633507604,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0058345928644750675,0.0021404481092351657,0.07817571237904777,0.07643663350760332,0.08885427734401632,0.09605638044910358,True,0.0021404481092351657,0.0021404481092351657,0.07643663350760332,0.07643663350760332,0.08885427734401632,0.09605638044910358,7
8,9.5,2.25,0.01,0.01,9.580226278422911,2.3215466790014045,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0020505660438629395,-0.0048899545061995495,0.08022627842291072,0.07154667900140377,0.09090484338787927,0.10094633495530314,True,-0.0048899545061995495,-0.0048899545061995495,0.07154667900140377,0.07154667900140377,0.09090484338787927,0.10094633495530314,8
9,10.5,2.25,0.01,0.01,10.59567750907777,2.3415478042611513,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01545123065485959,0.020001125259746944,0.09567750907777031,0.09154780426115071,0.10635607404273886,0.12094746021505008,True,0.020001125259746944,0.020001125259746944,0.09154780426115071,0.09154780426115071,0.10635607404273886,0.12094746021505008,9
10,11.5,2.25,0.01,0.01,11.613318781824368,2.3607872598091117,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.01764127274659768,0.019239455547960443,0.113318781824368,0.11078725980911115,0.12399734678933655,0.1401869157630105,True,0.019239455547960443,0.019239455547960443,0.11078725980911115,0.11078725980911115,0.12399734678933655,0.1401869157630105,10
11,12.5,2.25,0.01,0.01,12.623254036330017,2.3838496531430104,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.00993525450564862,0.023062393333898576,0.12325403633001662,0.13384965314300973,0.13393260129498516,0.1632493090969091,True,0.023062393333898576,0.023062393333898576,0.13384965314300973,0.13384965314300973,0.13393260129498516,0.1632493090969091,11
12,13.5,2.25,0.01,0.01,13.643761872905774,2.3845536483602485,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.02050783657575606,0.0007039952172379627,0.1437618729057727,0.1345536483602477,0.15444043787074122,0.16395330431414706,True,0.0007039952172379627,0.0007039952172379627,0.1345536483602477,0.1345536483602477,0.15444043787074122,0.16395330431414706,12
13,14.5,2.25,0.01,0.01,14.649398527767314,2.400439364742286,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.005636654861540876,0.01588571638203775,0.14939852776731358,0.15043936474228545,0.1600770927322821,0.17983902069618482,True,0.01588571638203775,0.01588571638203775,0.15043936474228545,0.15043936474228545,0.1600770927322821,0.17983902069618482,13
14,15.5,2.25,0.01,0.01,15.650397090805361,2.3991709829133177,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0009985630380468027,-0.0012683818289683062,0.15039709080536037,0.14917098291331715,0.1610756557703289,0.18110740252515312,True,-0.0012683818289683062,-0.0012683818289683062,0.14917098291331715,0.14917098291331715,0.1610756557703289,0.18110740252515312,14
15,16.5,2.25,0.01,0.01,16.668004318364154,2.395690227061586,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.017607227558791533,-0.003480755851731729,0.16800431836415192,0.1456902270615854,0.17868288332912044,0.18458815837688486,True,-0.003480755851731729,-0.003480755851731729,0.1456902270615854,0.1456902270615854,0.17868288332912044,0.18458815837688486,15
16,17.5,2.25,0.01,0.01,17.693659895234475,2.386839724443645,0.01,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,True,0.025655576870319774,-0.008850502617941508,0.1936598952344717,0.1368397244436439,0.20433846019944021,0.19343866099482637,True,-0.008850502617941508,-0.008850502617941508,0.1368397244436439,0.1368397244436439,0.20433846019944021,0.19343866099482637,16
17,18.5,2.25,0.01,0.01,18.719893578310213,2.599498355546588,0.01,0.01,True,0.0,0.2,0.0,0.2,0.0,0.2,True,0.02623368307573775,0.012658631102942972,0.21989357831020945,0.14949835554658686,0.23057214327517797,0.20609729209776934,True,0.012658631102942972,0.21265863110294297,0.14949835554658686,0.34949835554658687,0.23057214327517797,0.40609729209776935,17
