,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
0,1.5,2.25,0.01,0.01,1.5,2.25,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5,2.25,0.01,0.01,2.509642223179598,2.2577362547287088,0.01,0.01,False,0,0,0,0,0,0,True,0.009642223179598052,0.007736254728708776,0.009642223179598052,0.007736254728708776,0.009642223179598052,0.007736254728708776,True,0.007736254728708776,0.007736254728708776,0.007736254728708776,0.007736254728708776,0.009642223179598052,0.007736254728708776
2,3.5,2.25,0.01,0.01,3.5008045946199813,2.262579002512262,0.01,0.01,False,0,0,0,0,0,0,True,-0.00883762855961663,0.004842747783553386,0.0008045946199814226,0.012579002512262162,0.01847985173921468,0.012579002512262162,True,0.004842747783553386,0.004842747783553386,0.012579002512262162,0.012579002512262162,0.01847985173921468,0.012579002512262162
3,4.5,2.25,0.01,0.01,4.510294412389027,2.254405587146882,0.01,0.01,False,0,0,0,0,0,0,True,0.0094898177690461,-0.008173415365379992,0.010294412389027523,0.00440558714688217,0.027969669508260783,0.020752417877642156,True,-0.008173415365379992,-0.008173415365379992,0.00440558714688217,0.00440558714688217,0.027969669508260783,0.020752417877642156
4,5.5,2.25,0.01,0.01,5.528803154665615,2.250918691595455,0.01,0.01,False,0,0,0,0,0,0,True,0.018508742276588587,-0.0034868955514268316,0.02880315466561611,0.0009186915954553388,0.04647841178484937,0.024239313429068987,True,-0.0034868955514268316,-0.0034868955514268316,0.0009186915954553388,0.0009186915954553388,0.04647841178484937,0.024239313429068987
5,6.5,2.25,0.01,0.01,6.526242867016429,2.2655171900953,0.01,0.01,False,0,0,0,0,0,0,True,-0.00256028764918647,0.014598498499844941,0.02624286701642964,0.01551719009530028,0.04903869943403584,0.03883781192891393,True,0.014598498499844941,0.014598498499844941,0.01551719009530028,0.01551719009530028,0.04903869943403584,0.03883781192891393
6,7.5,2.25,0.01,0.01,7.545061050998293,2.267103372776002,0.01,0.01,False,0,0,0,0,0,0,True,0.018818183981864287,0.0015861826807020557,0.045061050998293925,0.017103372776002337,0.06785688341590013,0.04042399460961599,True,0.0015861826807020557,0.0015861826807020557,0.017103372776002337,0.017103372776002337,0.06785688341590013,0.04042399460961599
7,8.5,2.25,0.01,0.01,8.555527660474189,2.2683689995120915,0.01,0.01,False,0,0,0,0,0,0,True,0.010466609475897302,0.0012656267360892318,0.05552766047419123,0.018368999512091568,0.07832349289179744,0.04168962134570522,True,0.0012656267360892318,0.0012656267360892318,0.018368999512091568,0.018368999512091568,0.07832349289179744,0.04168962134570522
8,8.5,3.75,0.01,0.01,8.55552766047419,3.7683689995120915,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.05552766047419123,0.018368999512091568,0.07832349289179744,0.04168962134570522,True,0.0,0.0,0.018368999512091568,0.018368999512091568,0.07832349289179744,0.04168962134570522
9,7.5,3.75,0.01,0.01,7.558831625115786,3.7654387143109016,0.01,0.01,False,0,0,0,0,0,0,True,0.00330396464159609,-0.0029302852011899062,0.058831625115787316,0.015438714310901661,0.08162745753339352,0.04461990654689513,True,-0.0029302852011899062,-0.0029302852011899062,0.015438714310901661,0.015438714310901661,0.08162745753339352,0.04461990654689513
